Id,Sura,Aya,Text,Comment,DetailComment
751,5,82,"Эй Муҳаммад! Шубҳасизки, инсонлар орасида Мўминларга энг ашаддий душманни яҳудий ва мушриклар эканини кўрасан. Мўминларга дўстлик жиҳатидан энг яқин бўлувчилар ""Биз Насоролармиз"" деган кишилар эканини кўрасан. Чунки, насоролар ичида изланувчи олимлари ва роҳиблари бор, ҳамда улар такаббурлик қилмайди.  ",,
752,5,83,"Улар Расулуллоҳга юборилган (Қуръон)ни эшитган чоғларида ҳақни таниганлиги сабабли уларни кўзларидан ёш оқаётганини кўрасан. Улар шундай дейишади: ""Роббимиз! Биз имон келтирдик/ишондик, энди бизни гувоҳ бўлувчилар [*] қаторига ёзгин.    ","<p>
	[*]&nbsp; &nbsp; Яъни, Эй Аллоҳ! Бизларни Қуръон ҳақ китоб эканига, Қуръонни олиб келган Муҳаммад алайҳиссалом ростдан ҳам сен аввалги Китобларда айтган Элчи эканига гувоҳ бўлиб имонга кирганлардан қилгин. Шаҳодат калимасига ҳам боғлиқдир бу оят.&nbsp;&nbsp;</p>
",
753,5,84,"Ахир Роббимиз бизларни яхши қавм қаторига қўшишини умид қилиб турган бўлсак, Аллоҳга ва бизга келган бу ҳақиқатга ишонмасликка нима ҳақимиз бор?"" ",,
754,5,85,"Уларни бу айтган сўзлари туфайли Аллоҳ уларга ичларидан анҳорлар оқиб турадиган жаннатлар билан мукофотлайди, улар у жаннатлар ичра мангу қолувчилардир. Яхши ишларни амалга оширувчиларнинг мукофоти мана шундай бўлади. ",,
755,5,86,Кофирлик қилганлар ва оятларимизни ёлғон деганлар – ана ўшалар жаҳаннам аҳлидир. ,,
756,5,87,Эй Мўминлар! Аллоҳ сизларга ҳалол қилиб берган пок нарсаларни ҳаром қилманг [*] ва ҳаддан ошманг. Аллоҳ ҳаддан ошувчиларни яхши кўрмайди. ,"<p>
	[*]&nbsp; &nbsp; Қуръонда ҳалол деб айтилган нарсаларни бошқа манбаларга асосланиб ҳаром қилиб олиш &ndash; ҳаддан ошишдир.&nbsp;</p>
",
757,5,88,Аллоҳни сизларга берган ҳалол ва пок ризқидан енг. Сиз ўзингиз ишонаётган ўша Аллоҳга нисбатан жавобгарликни ҳис қилинг.,,
758,5,89,"Эътиборсизлик қилиб ичган қасамингиз сабабли Аллоҳ сизларни жавобгарликка тортмайди, лекин, атайин ичган қасамларингиз учун жавобгарликка тортади. Бундай қасамни бузишнинг каффорати – оилаларингизга едирадиган таомнинг ўртачасидан ўнта мискинга едиришингиз, ёки уларга кийим-кечак беришингиз, ё бўлмаса битта асирни озод қилишингиз бўлади. Буларни топа олмаган киши уч кун рўза тутиши керак. Атайин ичган қасамни бузишнинг кафорати шудир. Қасамингизда туринглар. Аллоҳ оятларини сизларга мана шундай баён қилиб бермоқдаки, шояд вазифаларингизни адо этсангиз.",,
759,5,90,"Эй Мўминлар! Маст қилувчи/ақлни тўсувчи ичимлик[1*], қимор[2*], тик қилиб қўйилган тошлар[3*] ва фол ўқлари[4*] шайтоний жирканч ишдир. Нажот топишингиз учун ундан узоқ туринглар!","<p>
	[1*] Араб тилида&nbsp; &laquo;ал-химор&raquo;&nbsp; &ndash;&nbsp; бошни тўсадиган матога, &laquo;алхомр&raquo; эса ақлни тўсувчи нарсага айтилади. Бу калиманинг кунимиздаги маънолари &ndash; маст қилувчи ичимлик дейилади.&nbsp;&nbsp;</p>
<p>
	[2*]&nbsp;Таваккалчи ўйинлар деб маъно берилган оят араб тилида майсир учта оятда маст қилувчи нарсалар билан ёнма-ён келади. (Бақара 2:219), (Моида 5:90, 91) Осонлик билан мол-давлатга эришиш мақсадида пул маблағни тикиб таваккал қилиб ўйналган ҳар қандай ўйин юқоридаги оят ҳукмига киради, уларнинг барчаси қимор ҳисобланади.&nbsp;</p>
<p>
	[3* ]&nbsp;Маъбад ва зиёратгоҳлардаги қурбонлик кесиш учун махсус таёрларб қўйилган тошлар, атаб ёқиладиган ўт-оловлар учун махсус дарахт ва маконлар, қадимги диний маросимлар ўтказиладиган тошлар юқоридаги оятда айтилган адном тоифасига киради.&nbsp;</p>
<p>
	[4*] Жоҳилият араблари сафарга чиқиш, жангга бориш, уйланиш, шубҳали гўдакларни насабини тайинлаш, тижорат билан шуғулланиш, қудуқ очиш ва ҳатто қимор ўйнаш ёки ўйнамаслик каби ўзларига муҳим деб ҳисобланган ишларида уни қилишлик ёки қилмаслик тўғрисида бир қарорга келиш учун ёғочдан тақалган ва унга қанот ҳам ясалмаган нозик ва узун ўқлардан фойдаланишган. Ўша ўқларга &laquo;бажар&raquo; ёки &laquo;бажарма&raquo; деган маънодаги ёзувлар ёзишар ва у ўқларни бир идишга ташлаб улардан танлаб олишар эди. Нима деб ёзилган ўқни олса, демак, бошламоқчи бўлиб турган ишини хайрли ёки хайрсиз эканига ўша ўқдаги ёзувга ишонишар ва унга кўра ҳаракат қилишар эди.&nbsp; &nbsp;</p>
",
760,5,91,"Шубҳасизки, шайтон маст қилувчи ичимлик ва қимор билан орларингизга душманчилик ва қаҳр-у ғазаб солишни, сизларни Аллоҳнинг зикридан/буйруқларидан ва намоздан тўсишни хоҳлайди. Энди тийиларсизлар?!",,
761,5,92,"Аллоҳга итоат қилинглар, Элчига итоат қилинглар ва диққат-эътиборли бўлинглар [*]. Агар юз ўгирсаларингиз, билингларки, Элчимизнинг вазифаси очиқ-ойдин етказишдан иборатдир.  ","<p>
	[*]&nbsp; &nbsp; Яъни, Аллоҳга ва Расулига итоатсизлик қилиб қўйишдан эҳтиёт бўлинглар. Оятларда &laquo;Аллоҳ ва Расули&raquo; дея келтирлган жумлалар, аксарият ҳолларда &laquo; Аллоҳга, яъни Аллоҳни элчиси олиб келган оятлар ва ҳукмларга бўйсунинглар&raquo; деган маъноларни ифода қилади. Чунки &laquo;Аллоҳга итоат қилинглар&raquo; деган сўздан кейин уни эшитган мусулмонлар: &ldquo;Аллоҳга қандай итоат қилайлик? Биз Уни кўрмасак, эшитмасак, У билан юзма-юз гаплашмасак&hellip; каби саволлар бериши мумкин эди. Лекин, Оятларда бундай саволларга ўрин қўйилмаган.&nbsp;</p>
",
762,5,93,"Имон келтирган ва хайрли ишларни амалга оширганларга, жавобгарликни ҳис қилган ва имон келтириб хайрли ишларни  амалган оширган, кейин (яна) жавобгарликни ҳис қилган ва имон келтирган, кейин (шундай давом этиб) жавобгарликни ҳис қилган ва бурчини чиройли бажарган муддатча (ҳаром бўлишидан илгари) еб-ичган нарсаларида гуноҳ йўқ [*]. Ўз муҳсинларни Аллоҳ яхши кўради.   ","<p>
	[*] Бу оят, тавба қилиб ўзини ва қилган гуноҳ ишларини тузатган кишиларни тавбадан аввал еб-ичган ярим нарсалари ҳақида баён қилмоқда ва айниқса, 90- оятда тақиқланган &quot;хомр&quot; дан яъни, еганда, ичганда ва бошқа турли йўллар билан истеъмол қилганда маст ва сархуш қилувчи нарсаларни истеъмол қилган нарсаларидан жавобгарликка тортилмаслигини билдиради.&nbsp; Қилган гуноҳ ишларидан тавба қилиб ўзини тузатганлар ва Аллоҳга йўналган кишилар ҳақида бошқа оятлар ҳам бор, улар қуйидагича: (Аъроф 7:153), (Наҳл 16:119), (Тоҳа 20:82), (Фурқон 25:68-71).&nbsp; &nbsp;</p>
",
763,5,94,"Эй Мўминлар! Аллоҳ сизларни қўлларингиз ва найзаларингиз билан овлай оладиган бир шаклдаги тузоғингизга тушган нарсалар билан имтиҳон қилади. Аллоҳ буни – кўрмай туриб [*] Аллоҳдан қўрқадиганларни белгилаб-ажратиб қўйиш  учун қилади. Ким бундан кейин ҳаддан ошса, унга аламли азоб бор.   ","<p>
	[*]&nbsp; &nbsp; Аллоҳни кўрмаса ҳам ғойибона қўрқадиганларни, ёки ич-ичидан Аллоҳдан қўрқадиганларни деб ҳам маъно бериш мумкин. (Бақара 2:1,2) оятлари ва изоҳига мурожаат қилинг)&nbsp;</p>
",
764,5,95,"Эй Мўминлар! Эҳромда бўлган вақтингизда овни ўлдирманг. Сизлардан кимки уни қасддан ўлдирса, унинг жазоси чорва ҳайвондан ўлдирган овга тенг келадиган бир ҳайвон бўлиб, бунга сизлардан одил икки киши ҳукм қилади. Энди у ҳайвонни Каъбага олиб бориб қурбонлик қилиши керак, ёки мискинларга таом бериш унинг каффорати бўлади, ё бўлмаса, унинг ўрнига рўза тутиши керак. Бу жазо – у киши ўз қилмишининг ваболини тотиши учундир. Аллоҳ илгарги гуноҳларингизни авф қилди. Кимки қайта гуноҳ қилса, Аллоҳ унга муносиб жазони бериб қўяди. Аллоҳ Азиздир, муносиб равишда жазо берувчидир.   ",,
765,5,96,"Сизларга ва йўловчиларга манфаат бўлсин дея денгиз ови ва егуликлари сизларга ҳалол қилинди. Қуруқлик ови эса, фақатгина эҳромда бўлган вақтингизда сизларга ҳаром қилинди. Аллоҳга нисбатан жавобгарликни ҳис қилинг. Сизлар Унинг ҳузурига тўпланасиз. ",,
766,5,97,"Аллоҳ Ўзининг ҳурматли уйи бўлмиш Каъбани, ҳаром ой(лар)ни, ҳарамга йўлланган қурбонликларни ва уларни бўйинларига осиб қўйилган нарсаларни инсонлар учун асос/тирилиш воситаси қилиб берди. Бу – Аллоҳ осмонлар ва ердаги нарсаларни билишини ва Аллоҳ ҳар нарсани билиб турувчи эканини (англаб) билишингиз учундир. ",,
767,5,98,"Билингларки, Аллоҳнинг жазоси қаттиқдир, Аллоҳ кечиримли ва меҳрибондир.",,
768,5,99,"Элчига юклатилган вазифа таблиғдир, холос. Ошкора ва яширин қилган ишларингизни барчасини Аллоҳ билиб туради.   ",,
769,5,100,"Эй Муҳаммад! Айтгинки: ""Нопок билан пок баробар бўлмайди, гарчи нопокнинг кўплиги сени ажаблантирган бўлса ҳам"". Шундай экан, эй ақлу виждони соф кишилар! Нажот топиш учун, Аллоҳга нисбатан жавобгарликни ҳис қилинг!""",,
770,5,101,"Эй Мўминлар! Сизларга очиқлаб берилса ўзингизга ёқмайдиган нарсалар ҳақида сўраманг. Агар у нарсани Қуръон нозил қилиниш жараёнида сўрасангиз, сизларга очиқлаб берилади. (Очиқланмагани учун) Аллоҳ у нарсалардан авф қилди. Аллоҳ жуда кечиримли, Ҳалим Зотдир.",,
771,5,102,"Сизлардан илгарги бир қавм ўшандай нарсаларни сўрашган эди, кейин, ўша нарсани инкор қиладиган бўлдилар.",,
772,5,103,"Аллоҳ на ""баҳира"", ""соиба"", ""васила"" ва ""ҳоми дан ҳеч бирини белгилагани йўқ. Лекин, кофирлар Аллоҳга бўҳтон қилишмоқда. Уларнинг аксарияти ақлини ишлатмайдилар [*].","<p>
	[*]&nbsp; &nbsp; Жоҳилият араблари баъзи баҳоналар билан баъзи ҳайвонларни бутларига атаб уларни ўз ҳолига ташлаб қўйишар эди. Масалан, уларни сув ва ўтли жойларга бўш қўйиб юборишар, сигирларини соғмас, минмас эдилар. Мана шундай қилиб уларни юқоридаги исмлар билан аташар эди. Улар бу ишларни ўз хоҳишлари билан қилсалар ва ўз хаёллари билан атасалар-да, бу номларни берилишини ва бу ишларни бажарилишини Аллоҳ буюрди деб Аллоҳга бўҳтон қилишар эди. Аллоҳ таоло уларни бу каби даъволарини ёлғон эканини ўртага қўймоқда.&nbsp;&nbsp;</p>
",
773,5,104,"Уларга: ""Аллоҳ туширган Қуръонга ва Аллоҳнинг Элчисига келинглар"" - дейилса, улар: ""Ота-боболаримизни тутган йўллари бизга етарли""  дейишади. Агар ота-боболари ҳеч нарса билмаган ва ҳидоят топмаган бўлсалар ҳам-а?! ",,
774,5,105,"Эй Мўминлар! Ўзингизни чорангизни кўринглар. Сизлар тўғри йўлда бўлган муддатча, адашганлар сизларга зарар етказа олмайди. Барчангиз Аллоҳга қайтасиз, шунда Аллоҳ сизларга қилмишларингизни айтиб беради.",,
775,5,106,"Эй Мўминлар! Бирортангизга ўлим келиб қолиб васият қилмоқчи бўлса, ўзингиздан адолатли икки киши орангизда гувоҳ бўлсин. Ёки сизлар сафарда эканингизда бошингизга ўлим мусибати келиб қолса, сизлардан бўлмаган бошқа икки киши гувоҳ бўлса ҳам майли. Агар улардан гумон қилиб қолсангиз, жаноза намозидан/дафн маросимидан кейин уларни  тўхтатиб қоласиз ва улар шундай қасам ичишади: ""Аллоҳ билан қасамки, Биз фойдасига қасам ичадиган киши қариндошимиз бўлган тақдирда ҳам, биз ичган қасамимизни ҳеч нарса эвазига сотмаймиз, Аллоҳ учун берилган гувоҳликни яширмаймиз. Акс ҳолда, аниқ гуноҳкорлардан бўлиб қоламиз».  ",,
776,5,107,"Агар у икки гувоҳни гуноҳкор ҳисобланишига алоқадор бўлган иши сезилиб қолса [*], у гувоҳни зиёнига гувоҳ бўлмоқчи бўлганларни орасидан маййитга (меросхўрлардан) энг яқин бўлган бошқа икки киши аввалги икки кишини ўрнига ўтади ва шундай деб қасам ичишади: ""Албатта бизни гувоҳлигимиз уларни гувоҳлигидан тўғридир, биз ҳаддимиздан ошмадик. Акс ҳолда, биз аниқ золимлардан бўлиб қоламиз"".   ","<p>
	[*]&nbsp; &nbsp; Яъни, вазиятни ўзгартириш ёки ёлғон қасам ичиш ёки бўлмаса меросга хиёнат қилиш мақсадида гувоҳлик қилишгани сезилиб қолса.&nbsp;</p>
",
777,5,108,Шундай қасам ичиш – керагича гувоҳлик учун етарли бўлади ва қасамларини кейинчалик бошқа қасам билан рад қилиниш қўрқувини озайтиришга мос бўлади. Сизлар Аллоҳга нисбатан жавобгарликни ҳис қилинг ва (Унга) қулоқ солинг. Аллоҳ фосиқлик қилувчиларни ҳидоят қилмайди. ,,
778,5,109,"Аллоҳ элчиларни тўплайдиган (қиёмат) куни улардан: ""(Инсонлар тарафидан) қандай қабул қилиндинглар?""  деб сўраганида, улар: ""Бизни бу ҳақда илмимиз йўқ, ғайбларни [*] жуда яхши билувчи Сен Ўзингсан"" деб жавоб беришади. ","<p>
	[*] Оятдаги ғайблар калимасига қалблар деб маъно берса ҳам бўлади. Имон қалб ва ундаги тасдиқдан ташкил топганлиги сабабли,&nbsp; қалбдаги имонни Аллоҳдан бошқа ҳеч ким билмайди. Демак, Аллоҳни элчиларига нисбатан берилган жавоб қанчалик самимий эканини пайғамбарлар билишмайди, ёлғиз Аллоҳ билади. Айниқса, улар вафот этганидан кейин уммати нима аҳволга тушганидан ҳам хабари бўлмайди.&nbsp;</p>
",
779,5,110,"Ана ўшанда Аллоҳ шундай дейди: ""Эй Марямнинг ўғли Исо! Мени сенга ва онангга ато этган неъматимни эсла. Сени Руҳул Қудус билан қўллаб-қувватлаганман, сен бешикдалик вақтингда ҳам, вояга етганингда ҳам инсонлар билан гаплашар эдинг. Сенга ёзишни, ҳикматни, Таврот ва Инжилни ўргатганман. Менинг амрим билан лойдан қуш шаклидаги нарса ясаб уни ичига пуфлар эдинг, у эса Менинг амрим билан қушга айланар эди. Туғма кўр инсонни ва пес касаллигига мубтало бўлган кишини Менинг амрим билан соғайтирар эдинг. Менинг амрим билан ўликларни қабрлардан чиқарар эдинг. Сени Исроил ўғилларидан ҳам қутқариб қолганман, чунки, ўшанда сен уларга аниқ-равшан далилларни олиб келганингда, улар орасидаги кофир бўлганлари: ""Бу очиқ-ойдин сеҳрдан бошқа нарса эмас""- деган эди.   ",,
780,5,111,"Мен (сен орқали) ҳавориларга: ""Менга ва Элчиларимга ишонинглар"" деб ваҳий қилганман [*].  Улар: ""Ишондик, гувоҳ бўл, биз мусулмонмиз"" деган эдилар. ","<p>
	[*]&nbsp;&nbsp; Дин, имон ва эътиқодга алоқадор ваҳийлар Пайғамбарлар орқали ваҳий қилинади. Бу оятдаги ваҳий Ийсо алайҳиссалом орқали юборилган Илоҳий буйруқга ишорат қилади. Аллоҳ хаворийларга ваҳий қилиб, улар билан гаплашганига далил бўлмайди. Зеро, бундан олдинги оятда Аллоҳ таоло Исо (а.с.)га хитоб қилаётгани акс этган. Ушбу оятдаги: &quot;гувоҳ бўл, биз мусулмонмиз&quot; ибораси (Оли Имрон 3:52) - оятда ҳам келган. У ерда ўша ибора айнан Исо (а.с.)га хитобан айтилган ҳаворийлар тарафидан. Демак, ҳаворийлар Аллоҳ билан эмас, ҳазрати Исо билан гаплашган. Оятларни алоқоадор оятлар билан ҳикмат услубида тафсир қилинмаса, ҳаворийлар ҳам Аллоҳдан ваҳий олган деб тафсир қилиниб қолинади. Бу эса, Павлус каби Аллоҳдан ваҳий олган ва ҳазрати Исо вафотидан кейин уни кўрганини даъво қиладиган инсонларга Қуръон оятлари билан ҳам йўл очиб берилган бўлади.&nbsp;</p>
",
781,5,112,"Ўз вақтида Ҳаворийларга: ""Эй Исо! Роббинг бизга осмондан бир дастурхон тушириб бера олармикин?” – дейишганида, Исо: ""Агар мўмин бўлсангиз, Аллоҳга нисбатан жавобгарликни ҳис қилинг!""  деган. ",,
782,5,113,"Шунда улар: ""Биз ўша дастурхондан ейишни, қалбларимиз ором топишини, сен бизга рост гапираётганингни билишни ва унга гувоҳ бўлувчилардан бўлишни хоҳлаяпмиз"" дедилар.",,
783,5,114,"Марямнинг ўғли Исо шундай деди: ""Эй Роббимиз Аллоҳ! Бизга осмондан бир дастурхон тушириб берсанг эди, бизга аввалимиз ва охиримиз учун байрам ва Сендан бир аломат бўлиб қолар эди. Бизга ризқ бергин. Энг яхши ризқ берувчи Сенсан”. ",,
784,5,115,"Аллоҳ шундай деди: ""Мен у дастурхонни сизларга тушираман. Аммо, ундан кейин сизлардан кимки нонкўрлик қилса, уни бу оламда ҳеч кимни азобламаган азобга гирифтор қиламан"".  ",,
785,5,116,"Бир кун (маҳшарда) Аллоҳ шундай дейди: Эй Марям ўғли Исо! Инсонларга: ""Аллоҳни қўйиб, Мен билан онамни илоҳ қилиб олинглар"" — деганмисан?"" Исо шундай дейди: ""Сен пок Зотсан! Ҳаққим бўлмаган нарсани гапириш менга эмас. Агар ундай деган бўлсам, зотан Сен Ўзинг билиб тургансан. Сен мени ичимдагини ҳам биласан, мен Сендагини билмайман. Сен ғайбларни биласан.",,
786,5,117,"Мен уларга фақатгина: ""Мени ва сизларни Эгангиз бўлмиш Аллоҳга қуллик қилинглар-деб, айт: деган буйруғингдан бошқа нарса демаганман"". Мен уларнинг ораларида эканимда уларни кўриб-кузатиб турганман. Мени вафот қилдирганингдан [*] кейин уларни кузатиб турувчи Сен Ўзинг бўлдинг. Сен ҳар нарсага шоҳидсан.","<p>
	[*]&nbsp; Араб тилида &quot;таваффа&quot; феъли &quot;уйқу&quot; ёки &quot;тун&quot; каби исмлар билан биргаликда келганида &quot;уйқу&quot;га алоқадор бўлган маъноларда ишлатилади. Лекин, ўзи ёлғиз келганида эса ҳақиқий ўлим, вафот этиш маъноларида ишлатилади. Бу оятлардан маълум бўладики, Исо алайҳиссалом ўзининг вафотидан кейин инсонлар уни ва онаси Марямни илоҳ қилиб олишганидан уни то қиёмат кунигача хабари бўлмаган ва кўрмаган. Бу оятдаги Аллоҳ билан бўлган суҳбати эса қиёматда бўладиган савол-жавобларидир. Демак, Исо алайҳиссалом тирик ҳолатда самога кўтарилмаган, қайтиб дунёга келмайди ҳам, биров уни ва онасини илоҳ қилиб олганидан хабари ҳам бўлмайди. Исонинг ўлганига далолат қилувчи яна бошқа оятлар: (Оли Имрон 3:55,144), (Анбиё 21:34).&nbsp;&nbsp;</p>
",
787,5,118,"""Агар уларни азобласанг, улар Сенинг қулларинг. Агар уларни кечирсанг, Сен ғолибсан, тўғри қарор берувчисан"".",,
788,5,119,"Аллоҳ айтадики: ""Бу кун, ростгўярнинг ростгўйлиги ўзларига фойда берадиган кундир. Уларга остидан анҳорлар оқиб турадиган боғу бўстонлар бор. Улар унда мангу қоладилар. Аллоҳ улардан рози, улар ҳам Аллоҳдан рози бўлишади. Энг катта муваффақият мана шудир"".",,
789,5,120,Осмонлар-у ер ва ундаги нарсалар Аллоҳникидир. Аллоҳ ҳамма нарсага ўлчов қўювчидир. ,,
790,6,1,"Аллоҳга олқиш-у мақтовлар бўлсин, еру, осмонларни У яратди, ҳамда қоронғиликлар ва ёруғлик пайдо қилди. Шундай бўлса-да, кофирлик қилганлар Яратган Эгасига бошқаларни тенглаштирмоқда.",,
791,6,2,"У сизларни лойдан [1*] яратиб, кейин бир ажал [2*] белгилаб қўйган. Унга кўра яна бир белгиланган ажал бор [3*]. Сизлар ҳали ҳам талашиб-тортишяпсиз [4*].","<p>
	[1*]&nbsp;Бу ҳақидаги бошқа тафсилотлик оятлар (Сажда 32:7,9), (Мўминун 23:12,14) оятларида баён қилинган.</p>
<p>
	[2*]&nbsp; Вужуд яратилиши асносида белгилаб қўйилган ажал &ndash; табиий биологик умрнинг якуни ҳисобланади. Ҳар бир инсоннинг вужуд ўлчами онасининг бачадонидалигида белгилаб қўйилади (Абаса 80:17-19).&nbsp;</p>
<p>
	[3*]&nbsp; Иккинчи ажал, яъни ажали мусаммо &ndash; ёлғиз Аллоҳ биладиган энг сўнги тириклик тарихидир. Ўша ажал келганида бир сония ҳам кечикмасдан инсон вафот этади. Баъзи бир нотўғри хатти ҳаракатлар ўша ажали мусаммони қисқартириб қўйиши мумкин. Агар тавба қилиб ўзини тузатса, ажали мусаммоси яна жойига тушиши мумкин. Юнус алайҳиссалом қиссаси унга мисол бўлади. Қаранг: (Соффат 37:139-149). Агар Юнус а.с. тавба қилмаганида эди, ўша катта балиқ қорнида вафот этган ва ўша ерда қолиб кетган бўларди.&nbsp;</p>
<p>
	[4*]&nbsp; Кўриб турганингиздек ажал икки қисм бўлади: бири Аллоҳ таоло фаришталарга ҳам билдириб қўйган ажал, яна бири эса, фақат Аллоҳ биладиган ажал. Бу оятда ажал маликаси накра ҳолатида такрорланиши ҳам айнан шунга ишора қилади. Чунки, накра исм такрорланса худди Шарҳ сурасидаги &ldquo;юсрон&rdquo; калимасига ўхшаб фарқли нарсаларни ирода қилади.&nbsp; &nbsp;</p>
",
792,6,3,"У осмонларда ҳам ерда ҳам Аллоҳдир [*]. У сирингизни ҳам, ошкор қилган нарсаларингизни ҳам билади, қилиб турган (яхши-ёмон) қилмишларингизни ҳам билади.","<p>
	[*] Ўхшаш оятлар: (Зухруф 43:84), (Мулк 67:16,17)</p>
",
793,6,4,"Ҳар қачон у (кофир)ларга Яратган Эгасининг оятларидан бир оят келса, улар ундан юз ўгириб кетишади.",,
794,6,5,"Ҳар сафар уларга ҳақ келганида, унга нисбатан ёлғон муносабат билдиришади. Улар менсимаган (мазах қилган) нарсаларнинг хабари яқинда ўзларига етиб келади.",,
795,6,6,"Улардан аввал қанчадан-қанча наслларни ҳалок қилганимизни кўрмадиларми? Бу заминда сизларга бермаган имкониятларни уларга берганмиз, уларни тепасига серёмғир булутлар юборганмиз ва остларидан анҳорлар оқиб турадиган қилиб қўйганмиз. Сўнгра, гуноҳлари сабабли уларни ҳалок қилиб, улардан кейин бошқа насл пайдо қилдик.",,
796,6,7,"(Эй Муҳаммад!) Агар сенга Китобни қоғозга ёзилган шаклда юборсак ва уни Ўз қўллари билан ушлаган тақдирда ҳам, кофирлар: ""Бу аниқ сеҳргарлик"" деган бўлишар эди [*].","<p>
	[*]&nbsp; Ҳақни тан олгиси келмаганларга ҳеч қандай ҳужжат-далил фойда бермайди. Ҳатто осмонлардан эшиклар очилиб турса ва улар у ердан чиқиб-тушиб турсалар ҳам ишонмай туриб оладилар (Ҳижр 15:14,15).&nbsp;</p>
",
797,6,8,"Яна: ""Унга малак туширилсайди"", дейишади. Агар малак туширсак, иш битирилади (ҳалок қилинади)[*], кейин уларга муҳлат берилмайди.","<p>
	[*]&nbsp; Лут алайҳиссаломда бўлгани каби, келган фаришталар фақатгина жазо олиб келиш учун келади. Фаришталар фақатгина белгиланган бир иш учун юбориладилар, огоҳлантириш учун эмас. Қаранг: (Ҳижр 15:8)&nbsp; &nbsp;</p>
",
798,6,9,"Агар у (Элчи)ни фаришта қилиб тайинлаганимизда эди, уни бари бир эркак кишининг қиёфасида юборган бўлардик ва пайдо қилган шубҳаларини ўзларига ўраб қўйган бўлардик [*].","<p>
	[*]&nbsp; Яъни, Аллоҳ инсонлар орасидан танлаб Элчи қилиб юборган инсонга ишонмасдан, турли баҳоналар билан Аллоҳдан фаришта-Элчи юборишини талаб қилишса ва Аллоҳ уларга фариштани Элчи қилиб юборса, уларни Муҳаммад алайҳиссаломга ишонмасдан уни ёлғончига чиқараётганликлари боис, фариштани кўрганда уни ҳам ёлғончига чиқарадиган ҳолда ташлаб қўйиши мумкин эди. Аллоҳ ҳар нарсага бир ўлчов ва қонун қўйган. Инсонларга Элчи қилиб инсон юбориши ҳам бир ўлчовдир. Аллоҳдан ваҳий олишга, олган ваҳийни инсонларга шартсиз ва қайтсиз етказиб беришга лаёқатли ва сабр-тоқатли кишиларни танлаб, ана ўшаларга фаришта орқали ваҳий юборади. Улардан бошқаларга фаришталарни Элчи қилиб юбормайди.&nbsp;&nbsp;</p>
",
799,6,10,"Сендан илгари ҳам Элчилар камситилди. Охир-оқибат, уларни камситганларни истеҳзо қилган нарсаси уларни ўз домига тортган [*].","<p>
	[*]&nbsp; Ўхшаш оятлар: (Раъд 13:32), (Ҳижр 15:11-95), (Анбиё 21:41), (Ясин 36:30), (Зухруф 43:7).&nbsp;</p>
",
800,6,11," Айт: ""Ер юзида сайр қилинглар. Сўнгра, (ҳақни) ёлғонга чиқарувчиларнинг оқибати қандай бўлганига назар солинглар"".",,
801,6,12,"""Осмонлар-у ердаги нарсалар кимники?"" де ва ""Аллоҳники"", деб айт. У Ўзига Ўзи раҳматни (раҳмлилик ва меҳрибонликни вазифа қилиб) ёзиб қўйган [*]. Аллоҳ барчангизни қиёмат кунига аниқ тўплайди, бунда шубҳа йўқ. Ўзларини хонавайрон қиладиганлар (бунга) ишонмайдиганлардир.","<p>
	[*]&nbsp; Аллоҳ бизга Ўз Робблик ва Илоҳлик вазифасини адо этиб бизларга ҳаёт, ризқ-у рўз, ноз-у неъмат бериб қўйибдими, энди биз ҳам ўз вазифамиз бўлган қуллигимизни адо этиб қўяйлик. Масъулиятли бўлайлик.&nbsp;</p>
",
802,6,13,"Кеча ва кундузда яшаб турган ҳамма нарса Аллоҳники. У эшитади, билади.",,
803,6,14,"""Осмонлар-у ерни яратган, емоқ-ичмоқ билан таъминлайдиган, Ўзи таомга муҳтож бўлмайдиган – Аллоҳдан бошқа бирини ўзимга валий/хожа қилиб олайми?!"" деб айт. ""(Буйруққа) таслим бўлганларнинг аввали бўлишга буюрилдим” деб айт [*]. Ва асло мушриклардан бўлиб қолма!","<p>
	[*]&nbsp; Аллоҳнинг дини фақат Исломдир (Оли Имрон 3:19). Шу боис, аввалги пайғамбарларнинг барчаси ўз умматлари орасидан илк мусулмони бўлган. Чунки, Исломга &ndash; Аллоҳнинг динига мансуб кимсаларга мусулмон дейилади. Бу Қуръондан аввалги китобларда ҳам ёзиб қўйилган (Ҳаж 22:78). Бу оятларга кўра Муҳаммад алайҳиссалом инсониятнинг энг биринчи мусулмони эмас, балки ўзига ваҳий қилиб буюрилаётган буйруқларга таслим бўлганлар орасидаги энг биринчи мусулмон шахсдир.&nbsp;</p>
",
804,6,15,"""Агар Яратган Эгамга осий бўлсам, буюк куннинг азобидан қўрқаман"" де.",,
805,6,16,"Ўша куни ким азобдан қутқариб қолинса, Аллоҳ унга чексиз яхшилик қилган бўлади. Мана шу аниқ муваффақиятдир.",,
806,6,17,"Агар Аллоҳ сенга бирон бир зиён етказса, уни даф этувчи фақат Унинг Ўзи бўлади. Агар Аллоҳ сенга бирон бир яхшилик етказса ҳам (шундай). Чунки, У ҳар нарсага ўлчов қўювчидир.",,
807,6,18,"У қулларига мутлақ ҳукмрондир. У тўғри қарор берувчидир, (ҳар нарсадан) хабардордир.",,
